id,host_id,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,super_host
197677,964081,1.0,1,0,Sumida Ku,35.71721,139.82596,Entire home/apt,4,1 bath,1.0,2.0,11000.0,165,95.0,0,0
776070,801494,1.0,1,1,Kita Ku,35.73844,139.76917,Private room,2,1 shared bath,1.0,1.0,7677.0,228,99.0,1,1
899003,4799233,2.0,1,1,Shinjuku Ku,35.71019,139.69755,Entire home/apt,3,1 bath,1.0,4.0,5200.0,93,90.0,0,0
1016831,5596383,1.0,1,1,Setagaya Ku,35.658,139.67134,Private room,2,1 shared bath,1.0,1.0,4000.0,211,99.0,0,0
1033276,5686404,,,,Adachi Ku,35.74437,139.79739,Private room,2,1 shared bath,1.0,0.0,30000.0,72,91.0,0,1
1096292,6018145,3.0,1,1,Shinjuku Ku,35.69233,139.70851,Private room,3,1 shared bath,1.0,3.0,11070.0,252,98.0,0,1
1196177,5686404,,,,Adachi Ku,35.74409,139.79895,Private room,2,1 shared bath,1.0,2.0,3000.0,95,94.0,0,1
1249571,6809418,1.0,1,1,Shibuya Ku,35.65111,139.72165,Entire home/apt,3,1 bath,1.0,1.0,32571.0,102,99.0,0,1
1263000,6876728,1.0,1,0,Setagaya Ku,35.60682,139.67629,Private room,2,1 shared bath,1.0,2.0,6000.0,185,96.0,0,1
1298200,6606987,3.0,1,1,Katsushika Ku,35.73987,139.85176,Entire home/apt,4,2.5 baths,2.0,4.0,13143.0,339,99.0,0,1
1306664,7103955,11.0,1,1,Shinjuku Ku,35.70263,139.74147,Entire home/apt,2,1 bath,1.0,1.0,36886.0,162,99.0,0,1
1394124,5710367,7.0,1,1,Meguro Ku,35.62039,139.69983,Entire home/apt,11,4 baths,3.0,11.0,16429.0,224,95.0,0,0
1394409,7537357,0.0,1,1,Toshima Ku,35.72597,139.7016,Private room,2,2 shared baths,1.0,2.0,4000.0,225,94.0,0,0
1394737,7537357,0.0,1,1,Toshima Ku,35.7241,139.70343,Private room,2,2 shared baths,1.0,2.0,4000.0,220,93.0,0,0
1441639,7740848,8.0,1,1,Katsushika Ku,35.7362,139.85178,Entire home/apt,5,1.5 baths,1.0,5.0,9800.0,304,99.0,1,1
1526132,8142772,13.0,1,1,Shinjuku Ku,35.69857,139.704,Private room,3,1 shared bath,1.0,0.0,6837.0,156,97.0,0,1
1544970,8142772,13.0,1,1,Shinjuku Ku,35.69848,139.70432,Private room,3,1 shared bath,1.0,0.0,6409.0,130,97.0,0,1
1571298,8142772,13.0,1,1,Shinjuku Ku,35.69847,139.70433,Shared room,9,1 shared bath,1.0,9.0,4980.0,168,96.0,0,1
